Codice;Descrizione;Formazione minima;;;
ADD.AUS;ADDETTO/A AUSILIARIATO;formazione generale e specifica rischio basso;antincendio livello 3;primo soccorso;
ADD.PORT;ADDETTO/A PORTIERATO;formazione generale e specifica rischio basso;;;
BIBLIO;ADDETTO/A SERVIZI BIBLIOTECARI;formazione generale e specifica rischio basso;;;
IMP. AMM;IMPIEGATO/A AMMINISTRATIVO/A;formazione generale e specifica rischio basso;;;
IMP. CC;IMPIEGATO/A CALL CENTER;formazione generale e specifica rischio basso;;;
IMP.CUP;IMP. CUP/FRONT - BACK OFFICE;formazione generale e specifica rischio basso;;;
OP.BAREL;OPERAIO/A BARELLIERE;formazione generale e specifica  rischio alto;;;
OP.CARRELL;OPERAIO/A CARRELLISTA;formazione generale e specifica rischio medio;muletto;;
OP.CIM;OPERAIO/A CIMITERIALE;formazione generale e specifica  rischio alto;;;
OP.DISINF;OPERAIO/A ADD. DISINF./DERAT.;formazione generale e specifica rischio medio;;;
OP.FACCHIN;OPERAIO/A ADD. FACCHINAGGIO;formazione generale e specifica rischio medio;;;
OP.PUL.NAV;OPERAIO/A PULIZIE NAVALI;formazione generale e specifica rischio alto;;;
OP.PUL.SAN;OPERAIO/A PULIZIE SANITARIE;formazione generale e specifica rischio basso;;;
OP.PULIZIE;OPERAIO/A PULIZIE ;formazione generale e specifica rischio basso;;;
OP.SQ.PI;OPERAIO/A SQUADRA PRONTO INTERVENTO;formazione generale e specifica rischio alto;antincendio livello 3;primo soccorso;preposto
OP.VERDE;OPERAIO/A ADD. MANUTENZIONE VERDE;formazione generale e specifica rischio medio;attrezzature verde;;
;;;;;
ADD. FORNO;ADDETTO/A FORNO CREMATORIO;N;conduzione forno;;
ADD.MEZZI;ADDETTO/A GUIDA MEZZI ,ESC., ECC. );N;;;
ADD.RIF;ADDETTO/A AI RIFIUTI;N;;;
AMB.CONF;AMBIENTI CONFINATI;N;spazi confinati;;
CAPO CANT.;CAPO CANTIERE ;N;preposto;;
FITO;ADDETTO/A USO FITOSANITARI;N;corso fitosanitari;;
IMP. SEDE;IMPIEGATI SEDE;N;;;
LAV.QUOTA;LAVORI IN QUOTA;N;lavori in quota e dpi 3 cat;;
MEZ+QUO+CO;ADDETTO/A GUIDA MEZZI+QUOTA+AMB. CONF.;N;corso mezzi + lavori in quota + ambienti confintati;;
MEZZ+CONF;ADDETTO/A GUIDA MEZZI + SPAZI CONFINATI;N;corso mezzi + ambienti confintati;;
MEZZI+QUOT;ADDETTO/A GUIDA MEZZI+LAVORO IN QUOTA;N;corso mezzi + lavori in quota ;;
PLE;ADDETTO/A USO PLE E/O LAV. QUOTA;N;corso ple + lavri in quota;;
RESP. TECN;RESPONSABILE TECNICO;N;dirigenti per lasicurezza;;
RM;ACCESSO AREE RM;N;;;
